id,last_name,first_name,gender,date_of_birth,status
1,Rosalez,Alejandro,M,5/11/1990,ENROLLED
2,Mansa,Akua,M,2/23/1967,GRADUATED
3,Silva,Ana,F,2/7/1994,APPLIED
4,Desai,Arnav,F,8/29/1976,ACCEPTED
5,Salazar,Carlos,M,7/16/1968,DECLINED
6,Ramirez,Diego,F,4/28/1997,ENROLLED
7,Owusu,Efua,M,6/23/1962,GRADUATED
8,Doe,Jane,F,12/30/1959,APPLIED
9,Roe,Jane,M,11/23/1969,ACCEPTED
10,Doe,John,M,7/25/1991,DECLINED
11,Stiles,John,M,1/13/1990,ENROLLED
12,Souza,Jorge,M,9/19/1991,GRADUATED
13,Mensah,Kwaku,F,2/5/1995,APPLIED
14,Manu,Kwesi,F,1/18/1986,ACCEPTED
15,Juan,Li,M,8/11/1976,DECLINED
16,Jie,Liu,F,1/16/1954,ENROLLED
17,Oliveira,Maracia,M,8/23/1960,GRADUATED
18,Garcia,Maria,F,5/24/2002,APPLIED
19,Rivera,Martha,F,6/25/1965,ACCEPTED
20,Major,Mary,M,6/8/1981,DECLINED
21,Jackson,Mateo,M,8/31/1993,ENROLLED
22,Jayashankar,Nikhil,F,10/22/1993,GRADUATED
23,Wolf,Nikki,M,10/28/1966,APPLIED
24,Santos,Paulo,M,6/6/2001,ACCEPTED
25,Roe,Richard,F,3/30/1999,DECLINED
26,Sarkar,Saanvi,M,9/16/1996,ENROLLED
27,Rodriguez,Shirley,M,8/14/1963,GRADUATED
28,Martinez,Sofia,M,10/5/1993,APPLIED
29,Xiulan,Wang,M,4/4/1993,ACCEPTED
30,Wei,Zhang,F,4/10/1975,DECLINED
